着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),date,race_type,course_ren,weather,ground_state,horse_id,jockey_id
202101010104,1,2,3,シルキーヴォイス,牡3,54.0,△泉谷,2:01.4,,10.0,35.8,34.9,4-3-4-4,栗東池江,480(+10),2021年6月12日,芝,2000,曇,良,2018100537,01182
202101010104,2,7,13,ホウオウリアリティ,牡3,56.0,大野,2:01.4,アタマ,3.0,4.8,34.8,7-7-7-4,美浦高木,474(+2),2021年6月12日,芝,2000,曇,良,2018103489,01096
202101010104,3,3,5,ノアスマッシュ,牝3,54.0,武豊,2:01.7,1.1/2,2.0,4.4,34.7,12-12-12-11,美浦堀井,428(+8),2021年6月12日,芝,2000,曇,良,2018103004,00666
202101010104,4,1,1,エーティーツヨシ,牡3,56.0,竹之下,2:01.8,1,7.0,15.3,35.6,1-1-1-1,栗東四位,484(+2),2021年6月12日,芝,2000,曇,良,2018102954,01036
202101010104,5,4,7,デルマケゴン,牝3,54.0,菊沢,2:01.9,クビ,12.0,49.7,35.4,4-5-4-4,美浦武市,392(0),2021年6月12日,芝,2000,曇,良,2018104804,01161
202101010104,6,4,6,ミステリーツアー,牡3,56.0,加藤,2:02.0,3/4,14.0,108.5,35.3,7-7-9-8,栗東梅田,478(-14),2021年6月12日,芝,2000,曇,良,2018105800,01156
202101010104,7,6,11,ルミナスゲート,牡3,56.0,藤岡佑,2:02.1,1/2,1.0,3.9,35.8,3-3-3-2,美浦木村,482(-6),2021年6月12日,芝,2000,曇,良,2018110026,01093
202101010104,8,7,12,ヤマノグリッターズ,牡3,56.0,黛,2:02.1,クビ,6.0,14.9,35.7,4-5-4-4,美浦田中清,488(0),2021年6月12日,芝,2000,曇,良,2018103204,01109
202101010104,9,5,8,プリエール,牝3,54.0,菱田,2:02.1,ハナ,15.0,264.2,35.1,12-13-12-11,栗東吉田,412(-2),2021年6月12日,芝,2000,曇,良,2018103059,01144
202101010104,10,6,10,ジャストフィット,牡3,56.0,団野,2:02.3,1.1/4,9.0,24.3,35.5,9-9-9-11,美浦藤沢和,506(-2),2021年6月12日,芝,2000,曇,良,2018110105,01180
202101010104,11,2,2,ロイヤルアッシュ,牡3,56.0,鮫島駿,2:02.3,アタマ,13.0,83.4,35.5,11-11-9-8,美浦池上,472(-6),2021年6月12日,芝,2000,曇,良,2018106334,01157
202101010104,12,5,9,インフォーマント,牡3,56.0,吉田隼,2:02.4,3/4,5.0,12.3,35.2,14-14-15-14,美浦加藤征,482(+2),2021年6月12日,芝,2000,曇,良,2018104676,01095
202101010104,13,8,15,マテンロウスタイル,牡3,56.0,横山和,2:02.6,1,4.0,6.1,36.0,14-14-7-8,栗東昆,504(+2),2021年6月12日,芝,2000,曇,良,2018102444,01140
202101010104,14,3,4,バケル,牡3,55.0,☆亀田,2:02.7,3/4,8.0,18.9,36.5,2-2-2-2,栗東平田,490(+6),2021年6月12日,芝,2000,曇,良,2018101597,01176
202101010104,15,8,14,セルヴォ,牡3,56.0,国分恭,2:03.2,3,11.0,36.9,36.1,9-9-12-15,栗東大根田,462(-4),2021年6月12日,芝,2000,曇,良,2018104222,01124
202101010105,1,7,11,カイカノキセキ,牝2,54.0,鮫島駿,0:56.9,,3.0,6.3,33.5,1-1,栗東池添学,472(0),2021年6月12日,芝,1000,曇,良,2019104536,01157
202101010105,2,2,2,リトス,牝2,53.0,☆亀田,0:57.2,1.1/2,4.0,10.7,33.5,4-2,美浦高橋裕,404(0),2021年6月12日,芝,1000,曇,良,2019103120,01176
202101010105,3,8,13,ブッシュガーデン,牝2,54.0,吉田隼,0:57.2,アタマ,2.0,3.4,33.1,8-5,美浦武井,452(0),2021年6月12日,芝,1000,曇,良,2019109094,01095
202101010105,4,5,6,コラリン,牝2,54.0,横山武,0:57.2,クビ,1.0,2.2,33.4,6-5,美浦木村,430(0),2021年6月12日,芝,1000,曇,良,2019105476,01170
202101010105,5,1,1,スマイルアップ,牝2,54.0,丹内,0:57.4,1.1/2,8.0,42.8,33.5,6-5,美浦萱野,422(0),2021年6月12日,芝,1000,曇,良,2019103815,01091
202101010105,6,4,4,プラソン,牝2,54.0,藤岡佑,0:57.7,1.3/4,5.0,16.5,34.2,2-2,栗東寺島,428(0),2021年6月12日,芝,1000,曇,良,2019105130,01093
