,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
2017103660,2020/10/03,2中京8,曇,7.0,3歳以上1勝クラス,,12.0,4.0,4,7.5,4,4,横山典弘,53,芝1600,良,**,1:34.0,0.3,**,2-4-5,34.8-35.0,34.8,478(0),,,ノルカソルカ,110.0,,,,,,
2017103660,2020/04/25,3京都1,晴,4.0,3歳未勝利,,18.0,5.0,9,5.9,3,1,福永祐一,54,芝1600,良,**,1:34.6,-0.2,**,4-4,34.8-35.4,35.1,478(0),,,(パリスデージー),510.0,,,,,,
2017103660,2020/04/11,2阪神5,晴,4.0,3歳未勝利,,18.0,8.0,17,9.0,5,4,福永祐一,54,芝1400,良,**,1:22.4,0.4,**,12-9,34.9-35.3,34.7,478(-6),,,マイネルホイッスル,77.0,,,,,,
2017103660,2019/10/20,4京都7,晴,5.0,2歳新馬,,13.0,2.0,2,4.0,2,6,横山典弘,54,芝1800,稍,**,1:51.6,0.7,**,10-10,36.8-35.6,35.5,484(0),,,レクセランス,,,,,,,
2018103485,2022/03/27,3中山2,曇,12.0,4歳以上2勝クラス,,13.0,4.0,5,49.5,10,8,小林脩斗,54,芝1200,重,**,1:09.8,0.7,**,6-5,33.6-35.5,35.7,414(0),,,イルクオーレ,,,,,,,
2018103485,2022/01/08,1中京2,晴,9.0,鳥羽特別(2勝クラス),,14.0,6.0,9,43.5,10,12,亀田温心,56,芝1200,良,**,1:09.8,1.6,**,4-4,33.9-34.3,35.4,414(+2),,,テーオーマルクス,,,,,,,
2018103485,2021/12/12,6阪神4,晴,8.0,3歳以上2勝クラス,,13.0,8.0,13,13.5,5,7,Ｍ．デム,56,芝1200,良,**,1:09.1,0.7,**,7-7,33.7-34.7,34.0,412(+2),,,フォドラ,,,,,,,
2018103485,2021/11/20,2福島5,晴,8.0,3歳以上1勝クラス,,16.0,3.0,5,19.7,9,1,亀田温心,55,芝1200,良,**,1:09.7,0.0,**,10-9,34.0-35.7,35.0,410(-10),,,(ファイアダンサー),760.0,,,,,,
2018103485,2021/09/25,4中山6,曇,4.0,3歳以上1勝クラス,,15.0,2.0,2,16.7,7,3,Ｍ．デム,55,芝1200,良,**,1:08.5,0.5,**,4-3,33.9-34.1,34.1,420(+2),,,ゼログラヴィティ,190.0,,,,,,
2018103485,2021/09/05,2札幌8,晴,6.0,3歳以上1勝クラス,,16.0,7.0,14,8.5,4,5,亀田温心,54,芝1200,稍,**,1:10.8,0.6,**,6-6,35.0-35.2,35.2,418(+4),,,カシノフォワード,76.0,,,,,,
2018103485,2021/08/14,2札幌1,曇,9.0,3歳以上1勝クラス,,16.0,2.0,4,19.9,8,2,亀田温心,53,芝1200,良,**,1:09.4,0.1,**,7-7,34.0-35.3,34.7,414(-4),,,ディキシークイーン,300.0,,,,,,
2018103485,2021/07/25,1函館8,晴,12.0,3歳以上1勝クラス,,11.0,5.0,5,28.1,8,6,亀田温心,53,芝1200,良,**,1:10.1,0.6,**,5-5,34.2-35.3,35.4,418(0),,,クインズセージ,,,,,,,
2018103485,2021/04/17,1新潟3,雨,10.0,雪うさぎ賞(1勝クラス),,15.0,1.0,1,69.6,12,7,吉田豊,56,芝1200,重,**,1:11.3,0.7,**,14-12,34.7-35.9,34.8,418(-2),,,レイハリア,,,,,,,
2018103485,2021/03/14,2中山6,晴,7.0,3歳1勝クラス,,15.0,2.0,3,17.2,6,10,三浦皇成,56,芝1200,重,**,1:12.5,1.0,**,7-6,35.1-36.4,37.0,420(-6),,,ユキノファラオ,,,,,,,
2018103485,2021/02/13,1東京5,晴,7.0,3歳1勝クラス,,16.0,6.0,11,7.2,3,10,Ｍ．デム,56,芝1400,良,**,1:22.6,1.0,**,8-7,34.4-35.5,35.5,426(0),,,レイモンドバローズ,,,,,,,
2018103485,2020/11/07,5東京1,曇,11.0,京王杯2歳S(G2),,18.0,5.0,10,64.8,10,6,Ｍ．デム,55,芝1400,良,**,1:22.6,0.8,**,5-4,34.7-34.7,35.0,426(+4),,,モントライゼ,,,,,,,
2018103485,2020/10/11,4東京2,曇,4.0,2歳新馬,,18.0,8.0,17,5.5,3,1,Ｍ．デム,55,芝1400,重,**,1:24.3,-0.1,**,4-5,36.9-35.2,34.7,422(0),,,(シュアーヴアリア),700.0,,,,,,
2018104363,2021/10/31,5新潟8,晴,9.0,3歳以上1勝クラス,,14.0,5.0,7,4.8,3,2,菱田裕二,55,ダ1200,良,**,1:11.4,0.3,**,2-2,34.4-36.7,36.8,512(+4),,,セルフメイド,300.0,,,,,,
2018104363,2021/10/16,4阪神3,曇,8.0,3歳以上1勝クラス,,11.0,3.0,3,3.7,2,5,武豊,55,ダ1200,良,**,1:12.9,0.4,**,2-2,34.9-37.6,37.8,508(-4),,,ジョウショーモード,76.0,,,,,,
2018104363,2021/09/25,5中京6,曇,6.0,3歳以上1勝クラス,,14.0,8.0,13,14.9,5,3,武豊,55,ダ1200,良,**,1:11.9,0.6,**,12-12,34.2-37.1,36.4,512(-14),,,ランドボルケーノ,190.0,,,,,,
2018104363,2021/08/14,2札幌1,曇,9.0,3歳以上1勝クラス,,16.0,3.0,6,8.2,4,5,吉田隼人,54,芝1200,良,**,1:09.5,0.2,**,4-4,34.0-35.3,35.2,526(+6),,,ディキシークイーン,76.0,,,,,,
2018104363,2021/08/01,1函館10,曇,9.0,長万部特別(1勝クラス),,13.0,4.0,5,30.8,10,3,吉田隼人,54,芝1200,良,**,1:09.2,0.3,**,3-3,34.1-34.8,34.8,520(+12),,,ノックオンウッド,274.3,,,,,,
2018104363,2021/05/22,3中京5,曇,6.0,3歳1勝クラス,,16.0,4.0,8,64.5,11,7,秋山真一,56,ダ1200,重,**,1:11.9,1.2,**,12-12,34.3-36.4,36.5,508(+4),,,クインズレモン,,,,,,,
2018104363,2021/04/04,2阪神4,曇,2.0,3歳未勝利,,16.0,5.0,10,17.4,6,1,吉田隼人,56,ダ1200,良,**,1:13.3,0.0,**,3-2,35.2-38.1,37.9,504(-2),,,(スズカキンシャサ),510.0,,,,,,
2018104363,2021/01/11,1中京4,曇,2.0,3歳未勝利,,16.0,3.0,5,7.6,4,6,吉田隼人,56,ダ1200,良,**,1:14.6,1.4,**,3-3,35.7-37.5,38.6,506(-10),,,コパノジャンピング,,,,,,,
2018104363,2020/12/19,6阪神5,曇,2.0,2歳未勝利,,16.0,7.0,13,15.0,3,5,武豊,55,ダ1200,良,**,1:14.0,0.6,**,6-7,35.3-38.1,38.2,516(+10),,,メイショウヒューマ,51.0,,,,,,
2018104363,2020/07/19,4阪神6,晴,2.0,2歳未勝利,,16.0,7.0,14,189.9,13,14,秋山真一,54,芝1400,良,**,1:25.6,3.3,**,3-3,34.4-36.3,39.2,506(+2),,,マイネルジェロディ,,,,,,,
2018104363,2020/07/04,4阪神1,曇,5.0,2歳新馬,,16.0,4.0,8,23.9,6,9,秋山真一,54,芝1400,重,**,1:26.5,1.9,**,2-2,35.1-37.2,39.1,504(0),,,ジャカランダレーン,,,,,,,
2017103323,2022/02/06,1小倉8,晴,3.0,4歳以上1勝クラス,,14.0,4.0,5,158.8,13,12,原田和真,55,ダ1000,良,**,1:00.8,1.5,**,13-12,35.2-35.8,36.0,442(0),,,エルズリー,,,,,,,
2017103323,2022/01/23,1小倉4,雨,3.0,4歳以上1勝クラス,,13.0,6.0,9,141.8,13,10,黛弘人,55,ダ1000,稍,**,1:00.1,1.4,**,11-12,33.9-36.1,36.0,442(+2),,,キュウドウクン,,,,,,,
2017103323,2021/12/25,5中山7,晴,9.0,ノエル賞(1勝クラス),,16.0,1.0,1,50.9,10,9,黛弘人,55,芝1200,稍,**,1:10.1,0.8,**,9-7,33.8-35.5,35.5,440(-4),,,サニーオーシャン,,,,,,,
2017103323,2021/12/12,6中京4,晴,3.0,3歳以上1勝クラス,,16.0,2.0,4,127.0,15,5,黛弘人,55,ダ1200,良,**,1:13.2,0.9,**,13-12,34.8-37.5,37.0,444(+10),,,チャペルレーン,76.0,,,,,,
2017103323,2021/11/06,2福島1,晴,8.0,3歳以上1勝クラス,,16.0,7.0,13,180.7,16,13,黛弘人,55,芝1200,良,**,1:09.8,0.8,**,15-15,33.8-35.2,34.8,434(+2),,,ステラダイヤ,,,,,,,
2017103323,2021/10/16,5新潟3,曇,9.0,3歳以上1勝クラス,,18.0,8.0,17,44.7,14,8,黛弘人,55,芝1400,良,**,1:23.4,0.8,**,8-9,35.2-35.4,35.6,432(0),,,ミスビアンカ,,,,,,,
2017103323,2021/08/14,2札幌1,曇,9.0,3歳以上1勝クラス,,16.0,5.0,10,32.4,9,6,丹内祐次,55,芝1200,良,**,1:10.0,0.7,**,16-16,34.0-35.3,34.1,432(0),,,ディキシークイーン,,,,,,,
2017103323,2021/07/24,1函館7,晴,7.0,3歳以上1勝クラス,,12.0,1.0,1,23.2,9,12,秋山稔樹,53,芝1200,良,**,1:09.9,0.7,**,3-4,33.4-35.8,36.2,432(+6),,,メイショウハボタン,,,,,,,
2017103323,2021/06/20,1札幌4,曇,7.0,3歳以上1勝クラス,,12.0,5.0,5,98.2,11,9,黛弘人,55,芝1200,良,**,1:09.1,0.6,**,5-5,33.8-34.7,34.8,426(-12),,,モンファボリ,,,,,,,
2017103323,2021/04/11,1新潟2,晴,8.0,4歳以上1勝クラス,,15.0,5.0,8,134.6,14,7,服部寿希,52,ダ1200,良,**,1:13.5,1.4,**,11-14,35.0-37.1,37.6,438(-8),,,ヘルメット,,,,,,,
2017103323,2021/03/21,2中山8,雨,7.0,4歳以上1勝クラス,,16.0,7.0,13,53.9,10,15,小林凌大,52,ダ1200,重,**,1:15.2,2.8,**,1-1,34.9-37.5,40.3,446(0),,,サトノワールド,,,,,,,
2017103323,2021/02/28,2小倉6,晴,9.0,4歳以上1勝クラス,,18.0,7.0,13,62.4,16,8,秋山稔樹,52,芝1200,稍,**,1:09.7,0.5,**,12-16,33.4-35.8,35.1,446(+4),,,サトノファビュラス,,,,,,,
2017103323,2020/12/12,3中京3,晴,3.0,3歳以上1勝クラス,,16.0,8.0,15,186.6,13,7,丹内祐次,54,ダ1200,良,**,1:13.3,1.6,**,4-5,35.4-36.3,37.5,442(+12),,,アーマーバローズ,,,,,,,
2017103323,2020/11/07,3福島3,曇,8.0,3歳以上1勝クラス,,15.0,7.0,12,75.5,13,10,菱田裕二,54,芝1200,良,**,1:10.6,0.7,**,3-2,34.3-35.6,36.1,430(+4),,,ジュビリーヘッド,,,,,,,
2017103323,2020/05/02,1福島7,晴,10.0,しゃくなげ賞(1勝クラス),,16.0,7.0,14,32.0,13,12,柴田大知,54,芝1200,良,**,1:10.4,0.9,**,5-4,34.0-35.5,36.0,426(0),,,ベッラヴォルタ,,,,,,,
2017103323,2020/04/18,1福島3,雨,10.0,雪うさぎ賞(1勝クラス),,16.0,4.0,8,52.3,12,7,斎藤新,54,芝1200,稍,**,1:12.7,1.6,**,11-12,34.0-37.1,37.9,426(-6),,,ジュニパーベリー,,,,,,,
2017103323,2020/02/23,1小倉12,晴,10.0,あざみ賞(1勝クラス),,18.0,7.0,15,161.9,17,4,丹内祐次,54,芝1200,良,**,1:11.2,0.6,**,4-4,34.4-36.2,36.5,432(0),,,ニシノストーム,150.0,,,,,,
2017103323,2020/02/08,1小倉7,晴,10.0,かささぎ賞(1勝クラス),,15.0,2.0,2,39.1,11,15,松若風馬,54,芝1200,良,**,1:10.1,1.4,**,3-3,33.7-35.0,36.1,432(0),,良,**,1:10.4,1.3,**,4-3,33.5-35.6,36.6,432(+10)
2017103323,2019/09/29,4中山9,曇,9.0,サフラン賞(1勝クラス),,9.0,1.0,1,62.7,8,9,木幡巧也,54,芝1600,良,**,1:35.9,1.6,**,5-5-8,35.3-34.3,35.4,422(-2),,,マルターズディオサ,,,,,,,
2017103323,2019/08/03,2新潟3,晴,9.0,ダリア賞(OP),,9.0,8.0,9,29.6,7,4,木幡巧也,54,芝1400,良,**,1:23.1,1.0,**,8-7,35.2-34.9,35.2,424(-6),,,エレナアヴァンティ,240.0,,,,,,
2017103323,2019/07/21,2函館6,曇,1.0,2歳未勝利,,11.0,6.0,7,21.0,6,1,丹内祐次,54,芝1200,良,**,1:10.4,-0.1,**,1-1,34.2-36.2,36.2,430(0),,,(フランジヴェント),500.0,,,,,,
2017103323,2019/07/06,2函館1,曇,1.0,2歳未勝利,,8.0,3.0,3,38.4,5,4,丹内祐次,54,芝1200,良,**,1:10.9,1.0,**,1-1,34.1-35.8,36.8,430(0),,,ケープコッド,75.0,,,,,,
2017103323,2019/06/22,1函館3,雨,5.0,2歳新馬,,14.0,4.0,5,12.5,6,8,丹内祐次,54,芝1200,良,**,1:11.4,1.2,**,5-5,34.8-35.4,36.1,430(0),,,パフェムリ,,,,,,,
2018104015,2022/03/30,高知,曇,3.0,C3ー8,,10.0,7.0,8,1.9,1,1,妹尾浩一,56,ダ1400,重,**,1:32.4,-1.0,**,2-2-2-1,0.0-39.5,39.2,496(-10),,,(スズカファラオ),50.0,,,,,,
2018104015,2022/03/16,高知,晴,1.0,C3ー9,,8.0,2.0,2,1.0,1,1,米倉知,56,ダ1400,良,**,1:35.8,-0.7,**,4-3-2-1,0.0-42.1,41.8,506(-3),,,(ダノンイーグル),50.0,,,,,,
2018104015,2022/02/23,高知,曇,1.0,C3ー11,,8.0,1.0,1,2.8,2,1,米倉知,56,ダ1300,重,,,14.0,1,1,277.1,14.0,7,黛弘人,54.0,ダ1700,稍,**,1:46.8,1.5,**,7-5-5-4,29.9-38.4
2018104015,2021/08/14,2札幌1,曇,9.0,3歳以上1勝クラス,,16.0,8.0,15,320.8,15,7,黛弘人,54,芝1200,良,**,1:10.1,0.8,**,10-9,34.0-35.3,35.1,480(-6),,,ディキシークイーン,,,,,,,
2018104015,2021/07/31,1函館9,晴,7.0,3歳以上1勝クラス,,12.0,5.0,5,285.1,12,11,小林凌大,51,芝2000,良,**,2:04.2,3.1,**,6-5-7-12,35.3-37.4,39.7,486(-12),,,オータムヒロイン,,,,,,,
2018104015,2021/07/17,1函館5,晴,4.0,3歳未勝利,,14.0,8.0,14,107.3,12,8,亀田温心,55,ダ1700,良,**,1:50.0,3.2,**,8-8-10-9,29.6-39.5,41.0,498(0),,,ミスズメジャー,,,,,,,
2018104015,2021/07/04,1福島2,小雨,3.0,3歳未勝利,,15.0,4.0,7,169.4,12,7,岩部純二,56,ダ1150,稍,**,1:10.5,1.7,**,10-10,31.8-37.0,38.1,498(+4),,,ウインラザンツ,,,,,,,
2018104015,2020/12/19,5中山5,曇,6.0,2歳新馬,,16.0,4.0,8,201.4,13,12,岩部純二,55,ダ1200,良,**,1:16.2,1.5,**,15-15,36.2-38.5,38.2,494(0),,,サッビアマーゴ,,,,,,,
2016104767,2022/04/05,金沢,晴,2.0,C17,,9.0,8.0,9,6.0,3.0,9,池田敦,56,ダ1400,良,**,1:36.0,3.9,**,9-6-5-9,0.0-39.2,42.4,462(+11),,,デルマラカン,,,,,,,
2016104767,2022/03/14,金沢,曇,4.0,C12,,10.0,5.0,5,8.8,5.0,10,青柳正義,56,ダ1500,重,**,1:45.5,7.2,**,10-10-10-10,0.0-39.3,44.3,451(-34),,,エイリアス,,,,,,,
2016104767,2021/12/14,金沢,晴,2.0,C14,,9.0,4.0,4,2.9,2.0,2,青柳正義,56,ダ1500,重,**,1:37.6,0.8,**,4-4-3-2,0.0-37.9,38.3,485(-4),,,ムーンランディング,10.2,,,,,,
2016104767,2021/11/30,金沢,晴,2.0,C13,,9.0,4.0,4,4.3,2.0,2,青柳正義,56,ダ1500,稍,**,1:37.2,2.0,**,4-3-2-2,0.0-37.0,37.5,489(+3),,,スノームーンライト,10.2,,,,,,
2016104767,2021/11/14,金沢,曇,2.0,C111,,8.0,1.0,1,4.0,2.0,1,青柳正義,56,ダ1400,稍,**,1:31.3,0.0,**,3-4-3-3,0.0-38.4,38.1,486(-1),,,(マイネルレイヨン),32.0,,,,,,
2016104767,2021/10/31,金沢,曇,2.0,C19,,9.0,8.0,9,1.0,1.0,2,青柳正義,56,ダ1400,良,**,1:32.5,0.1,**,2-2-2-1,0.0-40.9,40.5,487(+3),,,クインズユーカリ,10.2,,,,,,
2016104767,2021/10/12,金沢,雨,6.0,C23,,8.0,6.0,6,2.0,2.0,2,青柳正義,56,ダ1400,重,**,1:30.8,1.3,**,3-3-3-2,0.0-37.8,38.6,484(+4),,,セブンパワー,9.6,,,,,,
2016104767,2021/09/05,2札幌8,晴,6.0,3歳以上1勝クラス,,16.0,3.0,6,43.9,12.0,15,小沢大仁,54,芝1200,稍,**,1:11.9,1.7,**,14-13,35.0-35.2,35.9,480(-2),,,カシノフォワード,,,,,,,
2016104767,2021/08/14,2札幌1,曇,9.0,3歳以上1勝クラス,,16.0,1.0,1,17.3,6.0,9,泉谷楓真,56,芝1200,良,**,1:10.1,0.8,**,15-12,34.0-35.3,34.6,482(0),,,ディキシークイーン,,,,,,,
2016104767,2021/08/01,1函館10,曇,9.0,長万部特別(1勝クラス),,13.0,4.0,4,22.6,8.0,7,菱田裕二,57,芝1200,良,**,1:09.5,0.6,**,11-11,34.1-34.8,33.9,482(0),,,ノックオンウッド,,,,,,,
2016104767,2021/06/26,1札幌5,晴,9.0,3歳以上1勝クラス,,15.0,7.0,13,25.6,7.0,6,菱田裕二,57,芝1200,良,**,1:09.3,0.6,**,11-6,33.5-35.2,34.4,482(-4),,,コスモカッティーボ,,,,,,,
2016104767,2021/03/20,2中京3,晴,7.0,4歳以上1勝クラス,,13.0,8.0,13,3.7,2.0,11,菱田裕二,57,ダ1200,良,**,1:14.8,1.9,**,9-9,35.6-37.3,38.4,486(+4),,,ミラクルチューン,,,,,,,
2016104767,2021/03/06,2小倉7,曇,12.0,大牟田特別(1勝クラス),,18.0,2.0,3,22.9,7.0,4,菱田裕二,57,芝1200,稍,**,1:09.6,0.3,**,14-10,34.1-35.2,34.5,482(-4),,,ロードベイリーフ,160.0,,,,,,
2016104767,2020/12/20,3中京6,晴,7.0,3歳以上1勝クラス,,18.0,8.0,17,208.4,14.0,16,太宰啓介,57,芝1400,良,**,1:23.6,1.9,**,10-7,35.3-34.7,35.9,486(0),,,クリアサウンド,,,,,,,
2016104767,2020/10/31,4京都7,晴,7.0,3歳以上1勝クラス,,13.0,3.0,3,12.7,7.0,11,太宰啓介,57,芝1400,良,**,1:23.1,0.8,**,12-12,35.4-35.2,34.9,486(+10),,,マテンロウディーバ,,,,,,,
2016104767,2020/08/15,2小倉1,晴,12.0,3歳以上1勝クラス,,14.0,4.0,6,42.4,9.0,6,北村友一,57,芝1800,良,**,1:45.9,1.0,**,10-10-9-9,35.1-34.9,35.2,476(+2),,,フアナ,,,,,,,
2016104767,2020/06/14,3阪神4,曇,12.0,3歳以上1勝クラス,,18.0,2.0,3,18.6,8.0,8,秋山真一,57,芝1400,稍,**,1:23.2,0.9,**,14-12,34.5-36.1,36.1,474(-2),,,カワキタアジン,,,,,,,
2016104767,2020/04/26,3京都2,曇,7.0,4歳以上1勝クラス,,15.0,2.0,2,17.9,8.0,6,松若風馬,57,芝1400,良,**,1:23.0,0.3,**,10-9,36.8-33.9,33.7,476(0),,,プリヒストリー,,,,,,,
2016104767,2020/04/12,2阪神6,雨,7.0,4歳以上1勝クラス,,15.0,5.0,9,17.9,6.0,8,福永祐一,57,芝1600,稍,**,1:36.3,1.4,**,12-12,35.1-35.8,36.0,476(0),,,セントウル,,,,,,,
2016104767,2020/02/29,1阪神1,小雨,8.0,4歳以上1勝クラス,,10.0,7.0,8,8.6,4.0,7,四位洋文,56,芝1800,良,**,1:49.8,0.8,**,8-7,37.5-33.1,33.5,476(0),,,サトノウィザード,,,,,,,
2016104767,2020/02/08,2京都3,晴,8.0,4歳以上1勝クラス,,15.0,5.0,8,10.0,4.0,4,秋山真一,57,芝1600,良,**,1:34.2,0.4,**,13-11,35.2-35.3,34.2,476(0),,,サトノソロモン,110.0,,,,,,
2016104767,2019/12/14,5阪神5,晴,7.0,3歳以上1勝クラス,,15.0,2.0,3,19.5,6.0,9,武豊,56,芝1800,良,**,1:48.2,1.1,**,15-14,35.9-33.9,33.8,476(0),,,メイケイハリアー,,,,,,,
2016104767,2019/11/30,4中京1,晴,6.0,3歳以上1勝クラス,,16.0,2.0,3,12.4,7.0,10,福永祐一,56,芝1600,良,**,1:34.8,0.9,**,6-5-5,35.7-33.9,34.1,476(0),,,パルマリア,,,,,,,
2016104767,2019/04/06,3中山5,晴,11.0,ニュージーランドT(G2),,14.0,5.0,9,,,除,四位洋文,56,芝1600,良,**,,,**,,35.9-33.9,,474(-2),,,ワイドファラオ,,,,,,,
2016104767,2019/03/16,1阪神7,晴,11.0,若葉S(L),,10.0,8.0,9,32.3,7.0,6,四位洋文,56,芝2000,稍,**,2:03.1,1.0,**,6-4-4-4,36.9-35.5,35.9,476(-4),,,ヴェロックス,,,,,,,
2016104767,2019/01/12,1京都3,曇,5.0,3歳未勝利,,16.0,7.0,14,2.0,1.0,1,四位洋文,56,芝1800,良,**,1:50.4,0.0,**,7-7,35.4-36.3,35.8,480(0),,,(ヴィント),500.0,,,,,,
2016104767,2018/12/28,5阪神9,小雪,3.0,2歳未勝利,,18.0,7.0,13,8.7,4.0,2,四位洋文,55,芝1800,良,**,1:48.3,0.3,**,15-11,35.0-35.9,35.3,480(0),,,メイショウテンゲン,200.0,,,,,,
2016104767,2018/10/28,4京都9,晴,3.0,2歳未勝利,,9.0,1.0,1,4.8,3.0,2,四位洋文,55,芝2000,良,**,2:05.3,0.2,**,9-9-9-7,37.7-35.4,34.9,480(+2),,,ヤマカツシシマル,200.0,,,,,,
2016104767,2018/10/08,4京都3,晴,5.0,2歳新馬,,12.0,6.0,8,10.3,5.0,6,福永祐一,55,芝1800,良,**,1:50.3,0.3,**,8-7,36.8-34.8,34.4,478(0),,,クリノガウディー,,,,,,,
2016106030,2022/04/10,金沢,晴,7,B23,,10,8,10,19.3,6,5,葛山晃平,54,ダ1400,良,,,1:32.0,0.8,,,5-4-3-3,0.0-38.6,39.0,475(+1),,,,スノームーンライト,3.9,,,
2016106030,2022/03/29,金沢,曇,8,スマホ投票なら楽天競,,10,6,6,44.0,6,2,葛山晃平,54,ダ1500,良,**,1:38.6,0.9,**,1-1-1-1,0.0-40.1,41.0,474(+8),,,,ギンチャン,12.4,,,,,
2016106030,2022/03/08,高知,晴,6,C3ー6,,11,6,7,185.6,7,7,上田将司,54,ダ1300,良,**,1:29.5,4.1,**,3-2-3-5,0.0-39.5,43.2,466(-5),,,,ボーダーオブライフ,,,,,,
2016106030,2022/03/02,高知,晴,10,ファイナルレース,,12,7,9,16.8,10,9,木村直輝,54,ダ1400,重,**,1:35.7,1.0,**,2-2-2-2,0.0-42.1,42.8,471(+1),,,,バリブラック,,,,,,
2016106030,2022/02/15,高知,晴,4,C3ー6,,10,6,6,224.9,9,7,上田将司,54,ダ1400,重,**,1:34.2,2.2,**,3-3-4-4,0.0-40.1,42.0,470(-9),,,,ジーノカロリーナ,,,,,,
2016106030,2022/02/08,高知,曇,2,C3ー6,,9,3,3,42.4,7,6,上田将司,54,ダ1300,稍,**,1:29.4,1.8,**,3-4-3-4,0.0-40.8,42.3,479(+9),,,,ロードバイファル,,,,,,
2016106030,2022/01/25,高知,曇,12,ファイナルレース,,11,2,2,25.2,10,10,佐原秀泰,54,ダ1300,不,**,1:27.9,1.6,**,1-1-1-5,0.0-41.4,43.0,470(0),,,,アイオーン,,,,,,
2016106030,2022/01/18,高知,晴,4,C3ー6,,10,2,2,42.1,6,6,上田将司,54,ダ1400,良,**,1:36.6,3.3,**,4-4-5-4,0.0-41.4,44.1,470(+5),,,,ガルボマンボ,,,,,,
2016106030,2021/12/31,高知,晴,4,C3ー9,,10,4,4,7.3,3,8,嬉勝則,54,ダ1300,稍,**,1:29.7,2.3,**,7-6-6-6,0.0-41.5,43.3,465(-11),,,,イチネンプリンス,,,,,,
2016106030,2021/12/18,高知,晴,6,弘秋和道おおきに特別,,9,7,7,6.1,3,4,嬉勝則,54,ダ1400,不,**,1:35.0,2.1,**,1-1-1-4,0.0-41.0,43.1,476(+22),,,,トミケンサルタール,7.5,,,,,
2016106030,2021/11/13,2福島3,晴,6,3歳以上1勝クラス,,16,4,8,112.2,14,12,横山琉人,52,芝1200,良,**,1:10.9,1.2,**,12-10,34.7-35.0,35.3,454(-6),,,チャイカ,,,,,,,
2016106030,2021/10/10,5新潟2,晴,8,3歳以上1勝クラス,,18,2,3,118.8,16,17,秋山稔樹,53,芝1600,良,**,1:35.7,2.8,**,17-17,34.3-34.9,36.6,460(+6),,,インナリオ,,,,,,,
2016106030,2021/08/21,2札幌3,晴,12,千歳特別(1勝クラス),,13,7,12,,,取,菱田裕二,55,芝1500,良,**,,,**,,30.4-34.6,,計不,,,アルママ,,,,,,,
2016106030,2021/08/14,2札幌1,曇,9,3歳以上1勝クラス,,16,4,7,59.1,12,10,団野大成,55,芝1200,良,**,1:10.1,0.8,**,1-1,34.0-35.3,36.1,454(-6),,,ディキシークイーン,,,,,,,
2016106030,2021/07/10,1福島3,曇,12,3歳以上1勝クラス,,14,4,6,43.0,10,10,武藤雅,55,芝1200,稍,**,1:10.3,0.8,**,4-2,33.3-36.2,36.5,460(-4),,,グロリユーノワール,,,,,,,
2016106030,2021/04/24,1新潟5,晴,8,4歳以上1勝クラス,,14,7,12,45.3,11,14,西村淳也,55,ダ1200,良,**,1:14.2,1.7,**,3-3,34.8-37.7,39.1,464(+6),,,クリノクノイチ,,,,,,,
2016106030,2021/03/06,2小倉7,曇,12,大牟田特別(1勝クラス),,18,2,4,37.1,12,11,浜中俊,55,芝1200,稍,**,1:10.6,1.3,**,3-2,34.1-35.2,36.3,458(-2),,,ロードベイリーフ,,,,,,,
2016106030,2021/02/21,2小倉4,晴,6,4歳以上1勝クラス,,18,6,11,23.6,8,10,秋山稔樹,52,芝1200,良,**,1:08.9,0.8,**,12-12,33.0-35.1,35.2,460(+16),,,メメントモリ,,,,,,,
2016106030,2020/11/07,3福島3,曇,10,飯坂温泉特別(1勝クラス),,13,4,4,20.7,8,11,西村淳也,55,芝1200,良,**,1:11.5,1.7,**,5-5,34.9-34.9,36.2,444(-4),,,オルダージュ,,,,,,,
2016106030,2020/11/01,3福島2,曇,8,3歳以上1勝クラス,,15,3,5,11.7,7,15,井上敏樹,55,芝1200,良,**,1:10.1,1.5,**,6-6,33.7-34.9,35.8,448(+10),,,ビオグラフィー,,,,,,,
2016106030,2020/08/15,2札幌1,晴,9,3歳以上1勝クラス,,13,5,6,9.1,4,2,吉田隼人,55,芝1200,稍,**,1:09.6,0.3,**,10-7,33.7-35.6,34.7,438(-6),,,キーダイヤ,300.0,,,,,,
2016106030,2020/08/09,1札幌6,晴,12,3歳以上1勝クラス,,16,4,7,40.6,11,3,横山武史,55,芝1200,良,**,1:09.0,0.1,**,6-5,34.1-34.8,34.6,444(+6),,,エイカイマドンナ,150.0,,,,,,
2016106030,2020/05/23,1新潟5,晴,8,4歳以上1勝クラス,,16,3,5,16.5,8,10,西田雄一,55,芝1000,良,**,0:56.4,1.8,**,15,32.5-32.5,33.5,438(-4),,,トーホウレジーナ,,,,,,,
2016106030,2020/04/12,1福島2,晴,8,4歳以上1勝クラス,,16,4,8,21.6,7,8,藤田菜七,53,芝1200,良,**,1:10.1,0.3,**,9-7,33.7-36.1,35.6,442(-2),,,クリノイダテン,,,,,,,
