日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
2018102791,2021/12/25,5中山7,晴,8,3歳以上1勝クラス,,16,1,2,16.9,6,8,横山和生,54,ダ1200,稍,**,1:11.9,0.8,**,3-4,33.7-37.4,37.8,472(+4),,,スターリングワース,,,,,,,,,,,,,
2018102791,2021/11/06,2福島1,晴,9,3歳以上1勝クラス,,12,1,1,8.9,4,6,横山和生,54,ダ1150,良,**,1:09.5,1.0,**,12-11,31.9-36.6,36.2,468(-4),,,アイアムスゴスギル,,,,,,,,,,,,,
2018102791,2021/10/23,4東京5,晴,8,3歳以上1勝クラス,,18,5,10,52.9,10,18,武豊,53,芝1400,良,**,1:24.7,1.9,**,1-1,36.0-34.5,36.4,472(+6),,,ジネストラ,,,,,,,,,,,,,
2018102791,2021/07/10,1函館3,雨,10,下北半島特別(1勝クラス),,13,4,5,4.8,3,8,亀田温心,52,芝1200,稍,**,1:10.3,0.5,**,8-8,33.8-36.0,35.7,466(-2),,,ヴィズサクセス,,,,,,,,,,,,,
2018102791,2021/06/27,1札幌6,晴,1,3歳未勝利,,16,5,9,5.1,3,1,亀田温心,53,芝1200,良,**,1:08.4,-0.4,**,1-1,33.5-34.9,34.9,468(0),,,(ストーンフェンス),510.0,,,,,,,,,,,,
2018102791,2021/06/12,1札幌1,小雨,1,3歳未勝利,,16,5,10,7.6,5,4,鮫島克駿,54,芝1200,良,**,1:09.0,0.3,**,2-2,33.8-34.9,35.2,468(+2),,,ディーバサンライズ,77.0,,,,,,,,,,,,
2018102791,2021/02/21,2小倉4,晴,2,3歳未勝利,,18,5,9,2.9,1,8,菅原明良,53,芝1200,良,**,1:09.2,0.3,**,10-9,33.2-35.7,35.4,466(0),,,クインズセージ,,,,,,,,,,,,,
2018102791,2021/02/14,2小倉2,晴,2,3歳未勝利,,18,8,18,15.6,6,3,菅原明良,53,芝1200,良,**,1:08.4,0.2,**,2-2,32.4-35.8,35.8,466(+12),,,タガノスペルノヴァ,130.0,,,,,,,,,,,,
2018102791,2020/11/14,3福島5,晴,4,2歳未勝利,,16,2,4,4.5,2,7,菅原明良,53,芝1200,良,**,1:10.4,0.5,**,1-1,34.0-35.9,36.4,454(+2),,,ネクストストーリー,,,,,,,,,,,,,
2018102791,2020/10/24,4東京5,晴,3,2歳未勝利,,16,4,8,8.8,5,4,和田竜二,54,芝1400,稍,**,1:23.7,0.4,**,1-1,36.1-34.9,35.3,452(-2),,,ファインルージュ,77.0,,,,,,,,,,,,
2018102791,2020/08/23,3新潟4,晴,2,2歳未勝利,,18,5,9,26.6,8,2,斎藤新,53,芝1400,良,**,1:23.3,0.0,**,1-1,34.0-36.9,36.9,454(+2),,,テネラメンテ,200.0,,,,,,,,,,,,
2018102791,2020/08/01,2新潟3,曇,2,2歳未勝利,,17,2,3,48.0,9,6,菅原明良,52,芝1600,稍,**,1:35.4,1.3,**,1-1,35.3-33.7,35.0,452(+2),,,フォティノース,,,,,,,,,,,,,
2018102791,2020/07/11,2福島3,曇,6,2歳新馬,,15,5,8,12.0,6,15,木幡巧也,54,芝1200,稍,**,1:14.7,3.1,**,4-9,35.5-36.1,38.6,450(0),,,ブルーバード,,,,,,,,,,,,,
